mmnhz|冷读启动|我猜你是个女汉子，虽然外表看起来是萌妹
cwhd2|现场游戏|  5个问题的游戏（必须说出反向的答案）。 第一个问题：你是女的吗？MM答：不是 第二个问题：我是男的吗？MM答：不是 第三个问题：你的名字是三个字吗？MM答：是 第四个问题：我们是不是男女朋友关系？MM想了想答：是 第五个问题：那我吻你我吻你你会不会拒绝我？
szyx|现场游戏|  在你猜数字之前可以来点心里暗示，前面的聊天中和女的聊聊贝克汉姆，然后顺便提到他在曼联时的号码是7号，无形中加深数字7的印象;
szdlg|现场游戏|  我对她说,我先要测试你的第六感,我在电话里输入了一个数字,我现在要发到你的电话上,然后你预测这个数字会是多少.现在把你电话输进去吧`我把手机给了她.  
tkmn|共谋|@场景: 在公共场合，和对方一起聊一个别人的事情，拉进两人关系 #@我方: 你看前面那小哥，在偷看那个美女
byxz|星座|【白羊座】 有时候突然就心情很低落，不想说话也不想动。别人问起，也不知道该怎样回答。也许是因为突然看见的一句话，也许是看见某个物体联想到了什么，也许是从朋友那听来的一件小事，也许什么都不是，很多事情不需要理由，也没有理由。白羊座的人总喜欢做幕后的看客，冷冷地，静静地看着一切，在她眼里，一切都在她的意料之中，她并不觉得有什么是新奇的，如果她表现得新奇，那是因为她觉得应该这样做。她像一个看戏的人，永远置身事外。白羊若对你好能把所有最好的东西都给你，不管是情人还是朋友。但是若你一旦把它惹火了它就会毫不给面得冷漠。白羊不笨，只是对着朋友只是把心拿出来对待。白羊很热情很可爱，不喜欢被冷落。他们喜欢搞气氛，但就是脾气爆炸。爱白羊，你绝对不会后悔！
jnxz|星座| 【金牛座】 　　   其实有时候觉得金牛座是个压抑的星座，他在乎的事情太多，朋友啊，恋人啊…可是他不会正确的表达自己的感受，所以他经常被人误解。但其实他只是单纯的希望别人都能洞晓自己的心事，但又一次次的让自己失望，最后连金牛他自己都找不到自己的方向，所以故作出冷漠的神情。把自己封闭起来。金牛座，心是十分软的，常常口硬心软。金牛座，平时不易生气，开的起玩笑，但是一旦触到了死穴，那么会很固执的认为你的行为很不可理喻，然后变的令人望而生畏。如果你和金牛座的人有仇，ta也许会打心底讨厌你，骂你，但是不会做过分的行为，而只要你说对不起，那金牛座的人马上在心里原谅你。金牛座的感情很沉重，像是在赌博，赌你爱不爱，会不会离开。如果是真爱金牛可以放弃一切，这样的爱那么沉重。谁能承受？金牛很天真，只要一句我爱你，过去所有的不好都可以盖过去。好比基督教的洗礼，只要经过了洗礼，所有罪都可以免去，这就是金牛对于爱情的理解，真爱可以化解一切罪孽。
szxz|星座| 　　【双子座】 　　私底下双子总是很任性和小孩子气的固执，即使是错，下次还是固执；双子决定要做的事，就会坚持到底，只要想做就会把它做到最好；双子，不开心的时候就会隐藏自己，只是想让自己显的更独立更坚强；他们不善表达自己的情感，所以常常用沉默取代表达；但是亲爱的双子：有些话不说，有些人永远也不会懂。很多人苦恼于双子的灵活多变，但却没有注意到双子的一个特性--真诚自在。很多时候，双子是很直接明了的星座，而语言的灵活，往往只是出于双子的善意，这也是双子的另一特征--纯真善良，双子座愿意用自己的灵活和智谋维护良好的局面。一面是成熟冷静的成人，另一面则是善良无邪的顽童。如果你不能永远守护双子座，就不要说爱他，也不要说会保护他一辈子。双子们的笑永远都是最单纯的，无论什么时候你都会看到一直都在笑的双子，因为他们一直都只想把自己的快乐带给别人，却只把悲伤留给自己，当你看到双子的眼泪时就说明你是真的把他们的真心夺走了，因为双子真的很需要一份值得的依靠。
jxxz|星座| 　　【巨蟹座】 　　巨蟹座，你是不是觉得自己经常很累，为别人想很多可是别人没有回应甚至误会。傻瓜，为什么不自私一点呢？你也会有自己的小情绪，为什么要让别人成为你快乐难过的原因呢？巨蟹座很容易喜欢上一个人，只因为某一点就可以欣赏你，但巨蟹座很难爱上一个人，她爱你与否，可以从她愿意在你身上花费的时间看得出来的。巨蟹座的爱情随着时间会越来越深刻，如果一个巨蟹座愿意一种同样地姿态一直守候在你的身边，不用怀疑，他/她一定很爱你~ 。其实身边很多人不懂巨蟹，很多时候的好心总是被人误解。用心的付出，用心的爱却总是被别人浪费，甚至嘲笑。很多时候觉得自己不停的扮演着小丑的角色希望身边的人开心。可最后发现人家真的只是把你当小丑。而不是朋友！你们是不是真的以为无论说什么巨蟹都不会伤心？加美.女微信号:NZ3435，每天都有视频看哦。
shizixz|星座| 　　【狮子座】 　　狮子座其实是很让人心疼的星座，狮子座是很脆弱、很纤细、很敏感的。狮子很天真认为一切本来就应该这么好，所以，好多事在狮子的眼里接受不了，但是，狮子总以强势的方式来掩饰自己的弱点。其实，狮子是什么都在乎的一种人，也是很容易受伤的。你以为，狮子可以什么都不在乎。其实，狮子也只是一个普通人，也是会偷偷地掉泪的。孤傲的狮子，难以爱上一个人，爱不起是怕受伤害。善良的狮子，难以彻底恨一个人，恨不起是用情之真。狮子的爱恨，都是致命的。狮子对爱情忠贞不二，认定一个人，就是一生。一旦爱上，很难轻易放弃。相信，狮子的真爱只有一次。若被误伤，狮子也会相信，对方是有苦衷的。狮子真是傻到家了。有时侯，狮子觉得自己一无所有，仿佛被世界抛弃；有时候，明明身边很多朋友，却依然觉得孤单；有时候，走过熟悉的街角，看到熟悉的背影，突然就想起一个人；有时候，突然很想哭，却难过的哭不出来；有时候，夜深人静时，突然觉得寂寞深入骨髓；有时候，狮子突然找不到自己，把自己丢了。
cnxz|星座| 　　【处女座】 　　吵架时，处女女爱说狠话。当她转身走后，她多么希望你能追上来紧紧抱住她，哪怕说一句：不要走，我需要你。都有可能让她回头。若你放她走，那她所说的狠话都有可能成真，处女女看似坚强其实很脆弱。处女座不想让别人同情自己，只想在心底独自承受，虽然心疼的难以呼吸，却笑着告诉所有人“我没事的！”然后静下来时，自己便笑话自己，何必把自己伪装的那么坚强？好像自己可以承受所有的苦难…呵呵，这好累…好累…处女座不会被闪亮的事物吸引，因为在他们心中在意的，并不是那样肤浅的东西。处女座女生不会为一个英俊冷傲的人吸引，反而会被一个爽朗在路边逗着小狗的男孩吸引。处女座爱上一个人是致命的，不管贫穷还是富有，不管你美或是丑，不管你光明还是黑暗他们看到的，只是简单的你。处女座，有很多人羡慕，很多人嫉妒，很多人厌恶，几乎没有一个星座能有这样大的争议性。我想说，处女座的孩子们，眼泪永远多于笑容，那些从不愿别人失望但自己却因此精疲力尽的孩子，名字是处女座。如果你的爱人是处女座，那么请你好好爱TA，因为处女座真的不会自己寻找快乐。
tpxz|星座| 　　【天秤座】 　　为了别人的感受，就算是自己不情愿的也会去做，就算是自己不喜欢的也没去拒绝，就算不是自己的错也会去装笑脸认错。秤子这烂好人，总想把难受的让自己承担，却忘记了自己也已经遍体鳞伤。学会对自己好一点，别人真的没你自己那么重要。有时候天秤会不想长大，但又常被理智取代这种想法。在亲密爱人面前，会毫无保留地展现孩子气的一面，很依赖对方，像孩子般黏人；玩心很重，要对方陪伴着、依着。另外，与活泼、热情的人在一起时，很容易让天秤放开心胸，一下子把内心隐藏的童趣挖掘出来，扮鬼脸、逗趣的言谈。天秤其实很自卑和脆弱，很怕受到伤害，所以在遇到自己喜欢的人时，虽然内心非常难熬，但是会把一切苦恼都藏在自己的心里然后慢慢消化，其实ta要的只是对方一点点的回应，一点点的主动，也许天秤是个自卑的星座，因为不敢所以放弃，常常会想：对方没有主动联系你，说明原来一切都只是自己的一厢情愿。。
txxz|星座| 　　【天蝎座】 　　我是天蝎座有人觉得我强势果断 有人觉得我敏感脆弱 有人觉得我冷漠自私 有人觉得我热情似火 你看 我有这么多面 连自己都分不清哪个是最真实的自己 那你爱的会是哪一个我。天蝎疑心重，重到经常自己完全不相信自己。更不要说别人了。如果一只天蝎曾经跟你说过类似于永远啊，真正啊，愿意啊之类的话，你要深刻的记得并且要学会珍惜。因为那会是他一辈子少少几次信任中的一次。天蝎悲伤来的快，去的也快，确切的说，ta只是演技太好，让人看不出破绽而已。天蝎是一个很好的演员，并不是为了欺骗别人，只是为了欺骗自己。他用快乐的事情去麻痹自己内心的痛苦，其实他很痛，痛彻心扉，脸上挂着微笑，心里却在流血。天蝎的悲伤也只会写在笑容里。天蝎想谈一场长久的恋爱，最好很长很长，最好可以把对方当成像家人一样，每天生活必不可少的人。彼此吵架怎么吵都不会提分手两个字，刚开始可能很热恋，后来可能很平淡也没关系，因为彼此习惯彼此。把对方当成每天生活必然的人，平淡可又不能缺，每天早安晚安，每天醒来都会有彼此的温暖的信息！
ssxz|星座| 　　【射手座】 　　射手苦苦承担着各种各样的痛苦但是永远是别人面前的开心果 很少在别人面前诉苦或者哭泣 但是他的内心是极其难受也会摆出一副若无其事的感觉 那么请别吝啬你的拥抱和安慰的语言 因为他们可能真的撑不住了请善待射手娃 别把他们的爱都抛诸脑后 他们乐于给你带来的是快乐 而不是痛苦。射手座不太主动，淡淡然又持久的关系是最舒服的。TA希望自己在别人心目中，是“不给人负担”的朋友，一定要洒脱，绝不可给人“很黏”的印象。所以失意落魄时，也会选择躲起来，不幸被逮到还嘴硬说自己很好。如果身边有突然失联的射手座，也许TA们正在独自默默疗伤，不想被看见哦。有人问射手：分手了那么久还记得你的前一任么？怎么说呢？记得显得太花心，不记得，显得太薄情，射手觉得，那个人就好比走路撞上了一个电线杆，很痛，以后走路都会绕着电线杆走，可能很久以后，不记得撞得有多痛了，那个电线杆虽然一直都在，但是只是一根不起眼的激不起一点兴趣的电线杆而已。
mxxz|星座| 　　【摩羯座】 　　魔蝎非常善良心软，所以前度只要用点心就很快复合，前提是TA还没找到新欢，因为魔蝎很少吃回头草。摩羯座的人都是属鸡蛋的，外表给人的印象是坚强、是对很多事情的毫不在意，其实，他们的骨子里是极度的脆弱，不堪一击的脆弱。自尊（俗称面子）是摩羯的全部，甚至比自己生命还重要，天生的好强让他们没有办法接受自己被所在意的人忽视，更不可能接受被别人选择或者替补的状态，如果无从改变被动的局面。摩羯极其善于伪装，面具一张接一张。TA并不强势，只在等一个懂和在乎TA的人。不强求任何事情，你不主动开口，就永远不知道TA有多麽需要你。你不会看见TA生气的样子，一直都是那副表情，只不过觉得话变少了，语气变淡了。TA记得自己说过的每一句话，如果有人同样记得，会开心的像个孩子。
spxz|星座| 　　【水瓶座】 　　水瓶座的人总是忽冷忽热，请不要责怪Ta那麽的难以理解。瓶子确确实实的和Ta的名字一样是个瓶子。遇冷则冷，遇热则热，是个很容易受周围的环境影响的人。如果想瓶子一直保持温度，那就请你保持好你的热情，不然瓶子会像冰块一样，水瓶，渐渐的明白了，最在乎的那个人，往往是最容易让你流泪的；渐渐的明白了。很多爱情是可遇而不可求的，渐渐的明白了，很多东西只能拥有一次，放手了也就意味着失去了。渐渐的明白了，真心对一个人是不需要回报的；渐渐的明白了，其实一个人挺好的。瓶子最注重的就是安全感。希望被保护，却常常是一个人。瓶子不容易爱上一个人，但一旦爱上便很难自拔。一旦受伤，总是被伤的很深。 瓶子是个很爱撒娇的孩子，总是很依赖别人。 瓶子喜欢海，喜欢顾影自怜。喜欢自己舔伤口。 瓶子性格很古怪而又孤僻，他们会突然在大笑中沉默，感觉悲伤。
syxz|星座| 　　【双鱼座】 　　双鱼真是纠结，最喜欢自己也最讨厌自己吧？！因为讨厌这么喜欢的自己不能达到自己喜欢的样子。双鱼座总是会自己用无数个借口来让原谅自己爱的人。你们是不是这样？双鱼吃醋时不爱说话，也不会明讲。只是有点气嘟嘟的一个人生闷气，说话语气有点阴阳怪调，不给好脸色看。可是鱼儿们的心很软，在同伴做错事的时候，或者生TA人气的时候，其实很想不再理会，非常得想！但是鱼儿做不到，内心虽犹豫挣扎，可是过不了多久还是会妥协。双鱼座，为了友情和爱情能够达到一个无法想象的极限，不抛弃，不分开，哪怕不是对方的爱，但是也不纠缠，厚道直白的双鱼座纵使有太多的软弱，也抵不住它天生悲观的使者角色，如果你爱上双鱼，你得到的会是平凡的温暖和永远的爱，如果你不爱双鱼，双鱼会在静默中给予你想要的自由和未来。
